Cambridge - Cambridge Rindge and Latin,208,187,38,16,  49.0
Cambridge - Cambridge Rindge and Latin,255,111,57,29,  60.0
Cambridge - Cambridge Rindge and Latin,143,164,76,25,N/A
Canton - Canton High,155,74,0,2,  68.5
Canton - Canton High,146,56,24,4,  58.0
Canton - Canton High,128,77,16,1,N/A
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,38,90,11,0,  46.0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,53,45,32,9,  60.0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,16,66,36,3,N/A
Central Berkshire - Wahconah Regional High,63,78,6,2,  46.5
Central Berkshire - Wahconah Regional High,80,44,19,8,  32.0
Central Berkshire - Wahconah Regional High,64,65,12,4,N/A
Chelmsford - Chelmsford High,232,106,1,0,  57.0
Chelmsford - Chelmsford High,257,63,14,1,  55.5
Chelmsford - Chelmsford High,149,139,28,0,N/A
Chelsea - Chelsea High,83,154,69,38,  53.0
Chelsea - Chelsea High,63,90,93,108,  25.0
Chelsea - Chelsea High,31,87,147,64,N/A
Chicopee - Chicopee Comprehensive High School,139,183,28,10,  39.0
Chicopee - Chicopee Comprehensive High School,172,114,50,23,  40.5
Chicopee - Chicopee Comprehensive High School,40,178,112,20,N/A
Chicopee - Chicopee High,78,89,16,6,  55.0
Chicopee - Chicopee High,78,45,45,17,  41.0
Chicopee - Chicopee High,18,57,76,11,N/A
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,8,40,4,0,  27.5
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,18,29,5,0,  34.5
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,6,30,10,4,N/A
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,19,46,4,1,  52.0
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,25,30,13,2,  65.0
City on a Hill Charter Public School Dudley Square (District) - City on a Hill Charter Public School Dudley Square,13,34,11,7,N/A
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,4,27,7,9,  35.5
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,6,13,16,12,  38.0
City on a Hill Charter Public School New Bedford (District) - City on a Hill Charter Public School New Bedford,7,20,8,8,N/A
Clinton - Clinton Senior High,36,55,6,1,  58.0
Clinton - Clinton Senior High,31,42,21,4,  52.0
Clinton - Clinton Senior High,3,47,39,4,N/A
Concord-Carlisle - Concord Carlisle High,263,68,2,4,  52.0
Concord-Carlisle - Concord Carlisle High,273,53,4,4,  56.0
Concord-Carlisle - Concord Carlisle High,222,90,10,4,N/A
Danvers - Danvers High,109,121,11,4,  54.0
Danvers - Danvers High,111,86,32,13,  52.0
Danvers - Danvers High,74,121,38,5,N/A
Dartmouth - Dartmouth High,137,109,11,3,  39.0
Dartmouth - Dartmouth High,140,79,26,13,  31.0
Dartmouth - Dartmouth High,78,133,29,7,N/A
Dedham - Dedham High,86,81,6,3,  49.0
