Leominster - Leominster High School,61,61,25,3,N/A
Lexington - Lexington High,416,87,0,0,  54.0
Lexington - Lexington High,462,37,5,0,  60.0
Lexington - Lexington High,337,140,12,0,N/A
Lincoln-Sudbury - Lincoln-Sudbury Regional High,334,108,4,4,  47.0
Lincoln-Sudbury - Lincoln-Sudbury Regional High,367,59,12,10,  56.0
Lincoln-Sudbury - Lincoln-Sudbury Regional High,188,209,33,9,N/A
Littleton - Littleton High School,80,39,0,1,  52.5
Littleton - Littleton High School,94,21,3,2,  63.0
Littleton - Littleton High School,65,42,10,1,N/A
Longmeadow - Longmeadow High,160,58,2,1,  55.0
Longmeadow - Longmeadow High,163,41,12,5,  57.0
Longmeadow - Longmeadow High,108,88,14,2,N/A
Lowell - Lowell High,226,351,68,28,  47.5
Lowell - Lowell High,291,194,106,83,  43.0
Lowell - Lowell High,89,255,193,73,N/A
Lowell Middlesex Academy Charter - Lowell Middlesex Academy Charter School,2,5,4,0, 
Ludlow - Ludlow Senior High,103,100,15,5,  53.0
Ludlow - Ludlow Senior High,135,53,25,12,  57.0
Ludlow - Ludlow Senior High,43,109,59,9,N/A
Lynn - Classical High,96,185,42,24,  51.0
Lynn - Classical High,97,92,87,73,  41.0
Lynn - Classical High,45,89,145,22,N/A
Lynn - Lynn English High,123,168,58,27,  66.0
Lynn - Lynn English High,121,89,84,77,  58.5
Lynn - Lynn English High,24,123,150,39,N/A
Lynn - Lynn Vocational Technical Institute,39,119,31,18,  61.0
Lynn - Lynn Vocational Technical Institute,28,63,64,51,  41.5
Lynn - Lynn Vocational Technical Institute,6,53,115,17,N/A
Lynnfield - Lynnfield High,125,25,2,0,  61.0
Lynnfield - Lynnfield High,105,40,7,0,  59.0
Lynnfield - Lynnfield High,74,70,7,1,N/A
Malden - Malden High,161,198,25,7,  44.0
Malden - Malden High,190,112,68,18,  51.0
Malden - Malden High,72,174,111,10,N/A
Manchester Essex Regional - Manchester Essex Regional High School,80,28,2,0,  56.0
Manchester Essex Regional - Manchester Essex Regional High School,87,16,7,1,  63.0
Manchester Essex Regional - Manchester Essex Regional High School,43,55,10,1,N/A
Mansfield - Mansfield High,233,102,2,6,  72.0
Mansfield - Mansfield High,260,54,20,6,  72.0
Mansfield - Mansfield High,122,175,38,5,N/A
Marblehead - Marblehead High,196,56,5,0,  66.0
Marblehead - Marblehead High,198,41,13,4,  57.0
Marblehead - Marblehead High,131,94,26,1,N/A
Marlborough - Marlborough High,121,87,16,9,  51.0
Marlborough - Marlborough High,109,69,30,24,  37.0
Marlborough - Marlborough High,47,116,42,11,N/A
Marshfield - Marshfield High,215,99,2,4,  51.0
Marshfield - Marshfield High,193,88,30,7,  44.0
Marshfield - Marshfield High,95,158,52,6,N/A
Martha's Vineyard - Martha\'s Vineyard Regional High,105,60,6,0,  48.0
Martha's Vineyard - Martha\'s Vineyard Regional High,105,41,16,6,  34.0
Martha's Vineyard - Martha\'s Vineyard Regional High,47,89,21,3,N/A
Masconomet - Masconomet Regional High School,245,78,2,0,  63.0
Masconomet - Masconomet Regional High School,262,43,17,1,  62.0
Masconomet - Masconomet Regional High School,151,139,26,0,N/A
Mashpee - Mashpee High,37,59,4,2,  45.0
Mashpee - Mashpee High,42,37,19,5,  69.0
Mashpee - Mashpee High,12,47,35,3,N/A
Medfield - Medfield Senior High,162,51,3,0,  46.0
Medfield - Medfield Senior High,169,35,9,1,  60.5
Medfield - Medfield Senior High,110,86,21,0,N/A
Medford - Medford High,142,94,11,2,  72.0
Medford - Medford High,132,81,29,7,  65.5
Medford - Medford High,55,119,57,7,N/A
Medford - Medford Vocational Technical High,8,25,5,0,  60.5
Medford - Medford Vocational Technical High,12,10,9,3,  59.0
Medford - Medford Vocational Technical High,1,13,17,1,N/A
Medway - Medway High,143,47,1,1,  51.0
Medway - Medway High,150,32,7,2,  50.0
Medway - Medway High,65,86,32,2,N/A
Melrose - Melrose High,146,77,2,2,  47.0
Melrose - Melrose High,153,47,18,10,  49.0
Melrose - Melrose High,83,99,36,2,N/A
Mendon-Upton - Nipmuc Regional High,88,33,1,0,  61.0
Mendon-Upton - Nipmuc Regional High,92,22,7,4,  60.0
Mendon-Upton - Nipmuc Regional High,56,54,8,0,N/A
Methuen - Methuen High,149,184,26,11,  56.0
Methuen - Methuen High,141,125,62,40,  37.0
Methuen - Methuen High,55,168,100,17,N/A
Middleborough - Middleborough High,81,82,7,8,  43.0
Middleborough - Middleborough High,92,43,25,14,  44.5
Middleborough - Middleborough High,40,74,47,6,N/A
Milford - Milford High,122,114,11,6,  41.0
Milford - Milford High,120,69,47,18,  28.5
Milford - Milford High,79,106,55,4,N/A
Millis - Millis High School,60,24,0,0,  72.0
Millis - Millis High School,58,19,5,2,  34.0
Millis - Millis High School,25,46,8,0,N/A
Milton - Milton High,161,70,5,3,  47.0
Milton - Milton High,168,46,15,9,  57.5
Milton - Milton High,97,95,27,4,N/A
Minuteman Regional Vocational Technical - Minuteman Regional High,59,110,5,0,  40.0
Minuteman Regional Vocational Technical - Minuteman Regional High,56,71,36,12,  48.0
Minuteman Regional Vocational Technical - Minuteman Regional High,23,84,44,3,N/A
Monson - Monson Innovation High School,31,48,3,2,  44.0
Monson - Monson Innovation High School,43,23,13,5,  39.0
Monson - Monson Innovation High School,8,46,22,3,N/A
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,142,217,15,0,  42.0
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,184,144,40,7,  54.5
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,62,205,74,6,N/A
Nantucket - Nantucket High,61,35,12,3,  69.0
Nantucket - Nantucket High,44,34,18,15,  47.0
