Cyrus E Dallin,Gr.1,1,9,3,1,0,0,54,
Cyrus E Dallin,Gr.2,1,10,2,2,0,1,61,
Cyrus E Dallin,Gr.3,4,6,7,4,0,0,73,
Cyrus E Dallin,Gr.4,2,6,1,3,0,0,64,
Cyrus E Dallin,Gr.5,3,7,1,3,0,0,56,
Hardy,K,4,8,5,1,0,0,47,
Hardy,Gr.1,4,12,5,4,0,0,42,
Hardy,Gr.2,3,10,7,4,0,1,46,
Hardy,Gr.3,0,10,2,3,0,0,34,
Hardy,Gr.4,1,12,3,2,0,0,40,
Hardy,Gr.5,3,7,5,1,0,0,37,
Menotomy Preschool,PK,1,11,2,1,0,0,40,
Peirce,K,0,2,3,0,0,0,39,
Peirce,Gr.1,0,3,3,2,0,1,37,
Peirce,Gr.2,2,2,6,4,0,0,33,
Peirce,Gr.3,4,4,0,3,0,0,30,
Peirce,Gr.4,4,3,4,2,0,0,29,
Peirce,Gr.5,1,1,5,3,0,0,40,
Thompson,K,3,10,8,6,0,0,40,
Thompson,Gr.1,6,13,7,3,1,1,60,
Thompson,Gr.2,2,8,6,3,0,0,30,
Thompson,Gr.3,6,8,1,6,0,0,32,
Thompson,Gr.4,2,7,1,0,0,0,39,
Thompson,Gr.5,2,10,6,0,0,0,31,
M Norcross Stratton,K,2,8,1,6,0,0,49,
M Norcross Stratton,Gr.1,0,9,4,5,0,0,45,
M Norcross Stratton,Gr.2,3,13,3,2,0,0,45,
M Norcross Stratton,Gr.3,2,11,4,4,0,0,40,
M Norcross Stratton,Gr.4,1,6,4,9,0,0,47,
M Norcross Stratton,Gr.5,2,3,3,2,0,0,42,
Ottoson Middle,Gr.6,11,33,16,11,0,1,280,
Ottoson Middle,Gr.7,19,50,20,23,0,0,273,
Ottoson Middle,Gr.8,12,22,10,6,0,0,267,
Arlington High,Gr.9,11,33,7,11,0,0,218,
Arlington High,Gr.10,12,38,12,3,1,0,247,
Arlington High,Gr.11,9,28,14,8,0,1,243,
Arlington High,Gr.12,8,24,14,4,0,0,239,
William Pittaway Elementary,PK,3,19,6,5,0,0,89,
Henry E Warren Elementary,K,2,22,17,6,4,0,145,
Henry E Warren Elementary,Gr.1,4,26,15,5,0,0,142,
Henry E Warren Elementary,Gr.2,4,25,12,7,1,0,139,
David Mindess,Gr.3,4,25,17,6,0,0,132,
David Mindess,Gr.4,5,25,17,7,0,0,154,
David Mindess,Gr.5,4,25,22,9,0,0,155,
Ashland Middle,Gr.6,6,15,24,3,2,0,142,
Ashland Middle,Gr.7,3,12,14,2,0,0,142,
Ashland Middle,Gr.8,3,16,14,6,0,0,134,
Ashland High,Gr.9,5,5,13,5,0,0,164,
Ashland High,Gr.10,1,9,15,4,0,0,156,
Ashland High,Gr.11,10,6,10,5,0,0,144,
Ashland High,Gr.12,10,15,14,1,0,0,146,
A. Irvin Studley Elementary School,K,1,4,16,7,0,0,56,
A. Irvin Studley Elementary School,Gr.1,4,1,25,1,0,0,57,
A. Irvin Studley Elementary School,Gr.2,0,2,31,5,0,0,58,
A. Irvin Studley Elementary School,Gr.3,2,1,21,3,1,0,50,
A. Irvin Studley Elementary School,Gr.4,2,4,20,4,0,0,54,
Early Learning Center,PK,6,6,22,12,0,0,138,
Thomas E. Willett School,K,8,4,10,15,0,0,59,
Thomas E. Willett School,Gr.1,3,5,7,6,0,0,53,
Thomas E. Willett School,Gr.2,2,3,9,10,0,0,57,
Thomas E. Willett School,Gr.3,5,5,6,3,0,0,53,
Thomas E. Willett School,Gr.4,3,4,8,5,0,0,69,
Hyman Fine Elementary School,K,4,12,11,4,0,0,61,
Hyman Fine Elementary School,Gr.1,4,12,13,6,0,0,64,
Hyman Fine Elementary School,Gr.2,7,10,14,6,0,0,58,
Hyman Fine Elementary School,Gr.3,3,3,12,5,0,0,66,
Hyman Fine Elementary School,Gr.4,4,7,14,4,0,1,58,
Hill-Roberts Elementary School,K,5,3,10,4,1,0,77,
Hill-Roberts Elementary School,Gr.1,6,2,12,8,0,0,84,
Hill-Roberts Elementary School,Gr.2,2,6,12,5,0,0,64,
Hill-Roberts Elementary School,Gr.3,4,4,6,8,0,0,64,
Hill-Roberts Elementary School,Gr.4,1,2,17,4,0,0,95,
Peter Thacher Elementary School,K,8,3,8,8,0,0,64,
Peter Thacher Elementary School,Gr.1,5,5,10,3,0,0,70,
Peter Thacher Elementary School,Gr.2,3,0,11,2,1,0,63,
Peter Thacher Elementary School,Gr.3,6,3,13,8,0,0,52,
Peter Thacher Elementary School,Gr.4,5,3,6,5,0,0,61,
Robert J. Coelho Middle School,Gr.5,4,5,13,5,0,0,134,
Robert J. Coelho Middle School,Gr.6,8,7,13,4,0,0,141,
Robert J. Coelho Middle School,Gr.7,3,7,9,6,0,0,120,
Robert J. Coelho Middle School,Gr.8,9,4,12,6,1,1,124,
Cyril K. Brennan Middle School,Gr.5,9,8,18,9,0,2,102,
Cyril K. Brennan Middle School,Gr.6,2,4,25,6,2,1,101,
Cyril K. Brennan Middle School,Gr.7,10,1,26,7,0,1,98,
Cyril K. Brennan Middle School,Gr.8,4,7,16,12,0,1,108,
Wamsutta Middle School,Gr.5,8,10,30,8,0,0,74,
Wamsutta Middle School,Gr.6,7,4,23,7,0,0,89,
Wamsutta Middle School,Gr.7,7,3,22,4,1,0,102,
Wamsutta Middle School,Gr.8,7,6,19,5,2,0,99,
Attleboro High,Gr.9,28,17,43,9,2,0,316,
Attleboro High,Gr.10,26,24,51,25,3,2,328,
Attleboro High,Gr.11,15,15,53,13,0,0,323,
Attleboro High,Gr.12,20,20,36,8,1,0,310,
Julia Bancroft,Gr.3,0,7,2,3,0,0,93,
Julia Bancroft,Gr.4,1,0,2,4,0,0,85,
Julia Bancroft,Gr.5,0,1,0,0,0,0,87,
Bryn Mawr,K,0,0,1,4,0,1,84,
Bryn Mawr,Gr.1,1,2,9,5,0,0,65,
Bryn Mawr,Gr.2,1,6,7,4,0,0,80,
Pakachoag,Gr.3,1,2,3,1,0,0,76,
Pakachoag,Gr.4,1,5,6,6,0,0,75,
Pakachoag,Gr.5,0,5,1,3,0,0,80,
Mary D Stone,K,2,4,4,2,0,0,66,
Mary D Stone,Gr.1,0,5,8,3,0,0,74,
Mary D Stone,Gr.2,0,1,5,3,0,0,69,
Auburn Middle,Gr.6,1,7,11,8,1,0,165,
Auburn Middle,Gr.7,4,9,10,4,0,0,167,
Auburn Middle,Gr.8,2,8,10,3,0,0,183,
Auburn Senior High,PK,2,3,3,2,0,0,31,
Auburn Senior High,Gr.9,2,5,8,5,2,0,132,
Auburn Senior High,Gr.10,3,4,13,4,0,0,135,
Auburn Senior High,Gr.11,1,1,9,5,1,0,149,
Auburn Senior High,Gr.12,0,4,5,0,0,0,156,
Auburn Senior High,SP,***,***,***,***,***,***,***,
Ralph D Butler,K,1,3,2,2,2,0,30,
Ralph D Butler,PK,2,0,1,0,0,0,7,
Ralph D Butler,Gr.1,8,3,2,4,0,0,40,
Ralph D Butler,Gr.2,15,2,2,1,0,0,32,
Ralph D Butler,Gr.3,14,1,6,1,0,0,36,
Ralph D Butler,Gr.4,9,3,3,4,0,0,43,
Ralph D Butler,Gr.5,15,3,3,1,1,0,36,
Ralph D Butler,Gr.6,13,5,7,5,0,0,32,
Avon Middle High School,Gr.7,17,2,4,2,0,0,40,
Avon Middle High School,Gr.8,17,3,2,2,1,0,38,
